Week number,Location (county),Number of findings,Species involved,Total number of birds testing positive
Week 1 (2019),,0,No positive birds reported,0
Week 2 (2019),,0,No positive birds reported,0
Week 3 (2019),,0,No positive birds reported,0
Week 4 (2019),,0,No positive birds reported,0
Week 5 (2019),,0,No positive birds reported,0
Week 6 (2019),,0,No positive birds reported,0
Week 7 (2019),,0,No positive birds reported,0
Week 8 (2019),,0,No positive birds reported,0
Week 9 (2019),,0,No positive birds reported,0
Week 10 (2019),,0,No positive birds reported,0
Week 11 (2019),,0,No positive birds reported,0
Week 12 (2019),,0,No positive birds reported,0
Week 13 (2019),,0,No positive birds reported,0
Week 14 (2019),,0,No positive birds reported,0
Week 15 (2019) ,,0,No positive birds reported,0
Week 16 (2019),,0,No positive birds reported,0
Week 17 (2019),,0,No positive birds reported,0
Week 18 (2019) ,,0,No positive birds reported,0
Week 19 (2019),,0,No positive birds reported,0
Week 20 (2019),,0,No positive birds reported,0
Week 21 (2019),,0,No positive birds reported,0
Week 22 (2019) ,,0,No positive birds reported,0
Week 23 (2019) ,,0,No positive birds reported,0
Week 24 (2019) ,,0,No positive birds reported,0
Week 25 (2019) ,,0,No positive birds reported,0
Week 26 (2019),,0,No positive birds reported,0
Week 27 (2019),,0,No positive birds reported,0
Week 28 (2019),,0,No positive birds reported,0
Week 29 (2019),,0,No positive birds reported,0
Week 30 (2019),,0,No positive birds reported,0
Week 31 (2019),,0,No positive birds reported,0
Week 32 (2019),,0,No positive birds reported,0
Week 33 (2019),,0,No positive birds reported,0
Week 34 (2019) ,,0,No positive birds reported,0
Week 35 (2019) ,,0,No positive birds reported,0
Week 26 (2019),,0,No positive birds reported,0
Week 37 (2019),,0,No positive birds reported,0
Week 38 (2019),,0,No positive birds reported,0
Week 39 (2019),,0,No positive birds reported,0
Week 40 (2019),,0,No positive birds reported,0
Week 41 (2019),,0,No positive birds reported,0
Week 42 (2019),,0,No positive birds reported,0
Week 43 (2019),,0,No positive birds reported,0
Week 44 (2019),,0,No positive birds reported,0
Week 45 (2019),,0,No positive birds reported,0
Week 46 (2019),,0,No positive birds reported,0
Week 47 (2019),,0,No positive birds reported,0
Week 48 (2019),,0,No positive birds reported,0
Week 49 (2019),,0,No positive birds reported,0
Week 50 (2019),,0,No positive birds reported,0
