,Location (county),Total number of birds testing positive,week,year,date,season,location_2,Match
484,Aberdeen,2,5,2022,31/01/2022,2021/2022,Aberdeenshire,FALSE
522,Aberdeen,1,7,2022,14/02/2022,2021/2022,Aberdeenshire,FALSE
544,Aberdeen,1,9,2022,28/02/2022,2021/2022,Aberdeenshire,FALSE
561,Aberdeen,1,10,2022,07/03/2022,2021/2022,Aberdeenshire,FALSE
589,Aberdeen,1,12,2022,21/03/2022,2021/2022,Aberdeenshire,FALSE
633,Aberdeen,1,15,2022,11/04/2022,2021/2022,Aberdeenshire,FALSE
692,Aberdeen,9,24,2022,13/06/2022,2021/2022,Aberdeenshire,FALSE
711,Aberdeen,3,25,2022,20/06/2022,2021/2022,Aberdeenshire,FALSE
99,Aberdeen,3,50,2020,14/12/2020,2020/2021,Aberdeenshire,FALSE
176,Aberdeenshire,2,3,2021,18/01/2021,2020/2021,Aberdeenshire,TRUE
275,Aberdeenshire,1,47,2021,22/11/2021,2021/2022,Aberdeenshire,TRUE
368,Aberdeenshire,1,51,2021,20/12/2021,2021/2022,Aberdeenshire,TRUE
386,Aberdeenshire,2,52,2021,27/12/2021,2021/2022,Aberdeenshire,TRUE
418,Aberdeenshire,1,2,2022,10/01/2022,2021/2022,Aberdeenshire,TRUE
453,Aberdeenshire,2,4,2022,24/01/2022,2021/2022,Aberdeenshire,TRUE
492,Aberdeenshire,8,6,2022,07/02/2022,2021/2022,Aberdeenshire,TRUE
521,Aberdeenshire,11,7,2022,14/02/2022,2021/2022,Aberdeenshire,TRUE
525,Aberdeenshire,3,8,2022,21/02/2022,2021/2022,Aberdeenshire,TRUE
545,Aberdeenshire,3,9,2022,28/02/2022,2021/2022,Aberdeenshire,TRUE
562,Aberdeenshire,8,10,2022,07/03/2022,2021/2022,Aberdeenshire,TRUE
575,Aberdeenshire,4,11,2022,14/03/2022,2021/2022,Aberdeenshire,TRUE
590,Aberdeenshire,13,12,2022,21/03/2022,2021/2022,Aberdeenshire,TRUE
600,Aberdeenshire,5,13,2022,28/03/2022,2021/2022,Aberdeenshire,TRUE
614,Aberdeenshire,4,14,2022,04/04/2022,2021/2022,Aberdeenshire,TRUE
634,Aberdeenshire,2,15,2022,11/04/2022,2021/2022,Aberdeenshire,TRUE
643,Aberdeenshire,4,16,2022,18/04/2022,2021/2022,Aberdeenshire,TRUE
649,Aberdeenshire,7,17,2022,25/04/2022,2021/2022,Aberdeenshire,TRUE
663,Aberdeenshire,1,18,2022,02/05/2022,2021/2022,Aberdeenshire,TRUE
680,Aberdeenshire,5,21,2022,23/05/2022,2021/2022,Aberdeenshire,TRUE
685,Aberdeenshire,6,23,2022,06/06/2022,2021/2022,Aberdeenshire,TRUE
693,Aberdeenshire,9,24,2022,13/06/2022,2021/2022,Aberdeenshire,TRUE
712,Aberdeenshire,7,25,2022,20/06/2022,2021/2022,Aberdeenshire,TRUE
740,Aberdeenshire,3,27,2022,04/07/2022,2021/2022,Aberdeenshire,TRUE
761,Aberdeenshire,1,29,2022,18/07/2022,2021/2022,Aberdeenshire,TRUE
781,Aberdeenshire,3,31,2022,01/08/2022,2021/2022,Aberdeenshire,TRUE
795,Aberdeenshire,2,33,2022,15/08/2022,2021/2022,Aberdeenshire,TRUE
1008,Aberdeenshire ,1,47,2022,21/11/2022,2022/2023,Aberdeenshire,TRUE
163,Angus,1,52,2020,28/12/2020,2020/2021,Angus,TRUE
263,Angus,2,47,2021,22/11/2021,2021/2022,Angus,TRUE
336,Angus,1,49,2021,06/12/2021,2021/2022,Angus,TRUE
454,Angus,2,4,2022,24/01/2022,2021/2022,Angus,TRUE
493,Angus,1,6,2022,07/02/2022,2021/2022,Angus,TRUE
563,Angus,3,10,2022,07/03/2022,2021/2022,Angus,TRUE
694,Angus,8,24,2022,13/06/2022,2021/2022,Angus,TRUE
714,Angus,6,25,2022,20/06/2022,2021/2022,Angus,TRUE
741,Angus,8,27,2022,04/07/2022,2021/2022,Angus,TRUE
752,Angus,4,28,2022,11/07/2022,2021/2022,Angus,TRUE
782,Angus,3,31,2022,01/08/2022,2021/2022,Angus,TRUE
526,Argyll and Bute,1,8,2022,21/02/2022,2021/2022,Argyll and Bute,TRUE
576,Argyll and Bute,2,11,2022,14/03/2022,2021/2022,Argyll and Bute,TRUE
753,Argyll and Bute,2,28,2022,11/07/2022,2021/2022,Argyll and Bute,TRUE
762,Argyll and Bute,3,29,2022,18/07/2022,2021/2022,Argyll and Bute,TRUE
783,Argyll and Bute,1,31,2022,01/08/2022,2021/2022,Argyll and Bute,TRUE
796,Argyll and Bute,1,33,2022,15/08/2022,2021/2022,Argyll and Bute,TRUE
1009,Argyll and Bute,3,47,2022,21/11/2022,2022/2023,Argyll and Bute,TRUE
592,Barnsley Metropolitan Borough,1,12,2022,21/03/2022,2021/2022,Barnsley,TRUE
845,Bedford Borough,5,39,2022,26/09/2022,2021/2022,Bedford,TRUE
409,Birmingham City Council,1,1,2022,03/01/2022,2021/2022,Birmingham,TRUE
419,Birmingham City Council,4,2,2022,10/01/2022,2021/2022,Birmingham,TRUE
455,Birmingham City Council,2,4,2022,24/01/2022,2021/2022,Birmingham,TRUE
489,Birmingham City Council,11,5,2022,31/01/2022,2021/2022,Birmingham,TRUE
495,Birmingham City Council,5,6,2022,07/02/2022,2021/2022,Birmingham,TRUE
615,Birmingham City Council,2,14,2022,04/04/2022,2021/2022,Birmingham,TRUE
941,Birmingham City,1,44,2022,31/10/2022,2022/2023,Birmingham,TRUE
966,Birmingham City,5,45,2022,07/11/2022,2022/2023,Birmingham,TRUE
967,Blackburn with Darwen,2,45,2022,07/11/2022,2022/2023,Blackburn with Darwen,TRUE
233,Blackpool Borough Council,2,46,2021,15/11/2021,2021/2022,Blackpool,TRUE
279,Blackpool Borough Council,2,47,2021,22/11/2021,2021/2022,Blackpool,TRUE
811,Blackpool Borough Council,1,35,2022,29/08/2022,2021/2022,Blackpool,TRUE
90,Gwent,3,49,2020,07/12/2020,2020/2021,Blaenau Gwent,FALSE
837,"Bournemouth, Christchurch and Poole Council",1,38,2022,19/09/2022,2021/2022,"Bournemouth, Christchurch and Poole",TRUE
1010,"Bournemouth, Christchurch and Poole",2,47,2022,21/11/2022,2022/2023,"Bournemouth, Christchurch and Poole",TRUE
400,City of Bradford Metropolitan District,1,1,2022,03/01/2022,2021/2022,Bradford,FALSE
635,City of Bradford Metropolitan District,1,15,2022,11/04/2022,2021/2022,Bradford,FALSE
696,Brighton and Hove City Council,3,24,2022,13/06/2022,2021/2022,Brighton and Hove,TRUE
727,Brighton and Hove City Council,4,26,2022,27/06/2022,2021/2022,Brighton and Hove,TRUE
763,Bristol,1,29,2022,18/07/2022,2021/2022,"Bristol, City of",FALSE
207,Bury,1,45,2021,08/11/2021,2021/2022,Bury,TRUE
229,Bury Metropolitan Borough Council,1,46,2021,15/11/2021,2021/2022,Bury,TRUE
240,Bury Metropolitan Borough Council,1,46,2021,15/11/2021,2021/2022,Bury,TRUE
248,Bury Metropolitan Borough Council,2,47,2021,22/11/2021,2021/2022,Bury,TRUE
316,Bury,1,48,2021,29/11/2021,2021/2022,Bury,TRUE
56,Cambridgeshire,1,47,2020,23/11/2020,2020/2021,Cambridgeshire,TRUE
62,Cambridgeshire,1,48,2020,30/11/2020,2020/2021,Cambridgeshire,TRUE
63,Cambridgeshire,1,48,2020,30/11/2020,2020/2021,Cambridgeshire,TRUE
82,Cambridgeshire,1,48,2020,30/11/2020,2020/2021,Cambridgeshire,TRUE
104,Cambridgeshire,3,50,2020,14/12/2020,2020/2021,Cambridgeshire,TRUE
105,Cambridgeshire,1,50,2020,14/12/2020,2020/2021,Cambridgeshire,TRUE
106,Cambridgeshire,1,50,2020,14/12/2020,2020/2021,Cambridgeshire,TRUE
124,Cambridgeshire,2,51,2020,21/12/2020,2020/2021,Cambridgeshire,TRUE
125,Cambridgeshire,1,51,2020,21/12/2020,2020/2021,Cambridgeshire,TRUE
126,Cambridgeshire,1,51,2020,21/12/2020,2020/2021,Cambridgeshire,TRUE
127,Cambridgeshire,1,51,2020,21/12/2020,2020/2021,Cambridgeshire,TRUE
141,Cambridgeshire,1,52,2020,28/12/2020,2020/2021,Cambridgeshire,TRUE
142,Cambridgeshire,1,52,2020,28/12/2020,2020/2021,Cambridgeshire,TRUE
143,Cambridgeshire,1,52,2020,28/12/2020,2020/2021,Cambridgeshire,TRUE
144,Cambridgeshire,1,52,2020,28/12/2020,2020/2021,Cambridgeshire,TRUE
146,Cambridgeshire,2,52,2020,28/12/2020,2020/2021,Cambridgeshire,TRUE
156,Cambridgeshire,1,52,2020,28/12/2020,2020/2021,Cambridgeshire,TRUE
181,Cambridgeshire,1,5,2021,01/02/2021,2020/2021,Cambridgeshire,TRUE
283,South Cambridgeshire District Council,1,48,2021,29/11/2021,2021/2022,Cambridgeshire,TRUE
665,East Cambridgeshire,1,18,2022,02/05/2022,2021/2022,Cambridgeshire,TRUE
972,East Cambridgeshire,1,45,2022,07/11/2022,2022/2023,Cambridgeshire,TRUE
996,Fenland,1,46,2022,14/11/2022,2022/2023,Cambridgeshire,FALSE
395,Huntingdonshire District,1,1,2022,03/01/2022,2021/2022,Cambridgeshire,FALSE
774,Huntingdonshire District,2,30,2022,25/07/2022,2021/2022,Cambridgeshire,FALSE
792,Huntingdonshire District,4,32,2022,08/08/2022,2021/2022,Cambridgeshire,FALSE
549,City of Cardiff,1,9,2022,28/02/2022,2021/2022,Cardiff,FALSE
564,City of Cardiff,1,10,2022,07/03/2022,2021/2022,Cardiff,FALSE
604,City of Cardiff,1,13,2022,28/03/2022,2021/2022,Cardiff,FALSE
0,Carmarthenshire,1,51,2016,19/12/2016,2016/2017,Carmarthenshire,TRUE
96,Carmarthenshire,1,49,2020,07/12/2020,2020/2021,Carmarthenshire,TRUE
203,"(Carmarthenshire, Wales)",1,44,2021,01/11/2021,2021/2022,Carmarthenshire,FALSE
