,Location (county),Total number of birds testing positive,week,year,date,season
0,Carmarthenshire,1,51,2016,2016-12-19,2016/2017
1,Dumfries and Galloway,1,51,2016,2016-12-19,2016/2017
2,Leicestershire,1,51,2016,2016-12-19,2016/2017
3,Somerset,1,51,2016,2016-12-19,2016/2017
4,Lincolnshire,5,52,2016,2016-12-26,2016/2017
5,Gloucestershire,4,52,2016,2016-12-26,2016/2017
6,Merseyside,5,52,2016,2016-12-26,2016/2017
7,Dorset,9,1,2017,2017-01-02,2016/2017
8,Devon,1,1,2017,2017-01-02,2016/2017
9,Conwy,1,1,2017,2017-01-02,2016/2017
10,Wales,1,2,2017,2017-01-09,2016/2017
11,Dorset,1,2,2017,2017-01-09,2016/2017
12,Lancashire,1,2,2017,2017-01-09,2016/2017
13,Tyne & Wear,1,2,2017,2017-01-09,2016/2017
14,Northants,1,2,2017,2017-01-09,2016/2017
15,Gloucestershire,1,2,2017,2017-01-09,2016/2017
16,Dorset,1,3,2017,2017-01-16,2016/2017
17,Somerset,1,3,2017,2017-01-16,2016/2017
18,North Yorkshire,1,4,2017,2017-01-23,2016/2017
19,Lancashire ,1,5,2017,2017-01-30,2016/2017
20,Norfolk,1,6,2017,2017-02-06,2016/2017
21,Norfolk,1,7,2017,2017-02-13,2016/2017
22,Norfolk,1,8,2017,2017-02-20,2016/2017
23,Pembroke ,1,9,2017,2017-02-27,2016/2017
24,Somerset,1,11,2017,2017-03-13,2016/2017
25,Norfolk,1,28,2017,2017-07-10,2016/2017
26,Dorset,31,2,2018,2018-01-08,2017/2018
27,Warwickshire,13,3,2018,2018-01-15,2017/2018
28,Hertfordshire,19,3,2018,2018-01-15,2017/2018
29,West Yorkshire,1,4,2018,2018-01-22,2017/2018
30,Rutland,9,4,2018,2018-01-22,2017/2018
31,Greater London,2,4,2018,2018-01-22,2017/2018
32,Berkshire,5,5,2018,2018-01-29,2017/2018
33,Surrey,2,5,2018,2018-01-29,2017/2018
34,Hertfordshire,1,5,2018,2018-01-29,2017/2018
35,Surrey,1,5,2018,2018-01-29,2017/2018
36,Warwickshire,1,5,2018,2018-01-29,2017/2018
37,Oxfordshire,1,7,2018,2018-02-12,2017/2018
38,Surrey,2,9,2018,2018-02-26,2017/2018
39,Lincolnshire,4,9,2018,2018-02-26,2017/2018
40,Devon,1,9,2018,2018-02-26,2017/2018
41,Suffolk,1,9,2018,2018-02-26,2017/2018
42,South Glamorgan,1,9,2018,2018-02-26,2017/2018
43,Hampshire,1,9,2018,2018-02-26,2017/2018
44,Suffolk,2,13,2018,2018-03-26,2017/2018
45,Suffolk - new report from previously reported location,2,14,2018,2018-04-02,2017/2018
46,Suffolk - new report from previously reported location,1,16,2018,2018-04-16,2017/2018
47,Gloucestershire,2,45,2020,2020-11-09,2020/2021
48,Gloucestershire,1,46,2020,2020-11-16,2020/2021
49,Devon,5,46,2020,2020-11-16,2020/2021
50,Lincolnshire,8,46,2020,2020-11-16,2020/2021
51,Lancashire,1,46,2020,2020-11-16,2020/2021
52,Lancashire,1,46,2020,2020-11-16,2020/2021
53,Gloucestershire,6,46,2020,2020-11-16,2020/2021
54,Dorset,1,46,2020,2020-11-16,2020/2021
55,Essex,1,47,2020,2020-11-23,2020/2021
56,Cambridgeshire,1,47,2020,2020-11-23,2020/2021
57,Dorset,6,47,2020,2020-11-23,2020/2021
