,Week number,Location ,Number of findings,Species involved,Total number of birds testing positive,Subtype,Year,week,date,season
0,Week 48 (2022),Angus,2,Common Buzzard,2,H5N1 HPAI,2022,48,28/11/2022,2022/2023
1,Week 48 (2022),Bradford,2,"Unspecified Swan, Canada Goose",3,H5N1 HPAI,2022,48,28/11/2022,2022/2023
2,Week 48 (2022),Derby ,1,Sparrowhawk,1,H5N1 HPAI,2022,48,28/11/2022,2022/2023
3,Week 48 (2022),Dumfries and Galloway,1,Barnacle Goose,1,H5N1 HPAI,2022,48,28/11/2022,2022/2023
4,Week 48 (2022),East Hampshire,1,Unspecified Bird of Prey,1,H5N1 HPAI,2022,48,28/11/2022,2022/2023
5,Week 48 (2022),Fife,1,"Common Gull, Guillemot",4,H5N1 HPAI,2022,48,28/11/2022,2022/2023
6,Week 48 (2022),Horsham,1,Greylag Goose,2,H5N1 HPAI,2022,48,28/11/2022,2022/2023
7,Week 48 (2022),Huntingdonshire,2,"Common Buzzard, Mute Swan",2,H5N1 HPAI,2022,48,28/11/2022,2022/2023
8,Week 48 (2022),Hyndburn,2,"Canada Goose, Greylag Goose",2,H5N1 HPAI,2022,48,28/11/2022,2022/2023
9,Week 48 (2022),Kirklees,3,"Canada Goose, Mute Swan, Unspecified Duck",6,H5N1 HPAI,2022,48,28/11/2022,2022/2023
10,Week 48 (2022),London Borough of Ealing,1,Mute Swan,2,H5N1 HPAI,2022,48,28/11/2022,2022/2023
11,Week 48 (2022),London Borough of Hillingdon,2,"Canada Goose, Mute Swan",2,H5N1 HPAI,2022,48,28/11/2022,2022/2023
12,Week 48 (2022),London Borough of Newham,1,Canada Goose,1,H5N1 HPAI,2022,48,28/11/2022,2022/2023
13,Week 48 (2022),Mid Suffolk,1,Common Buzzard,1,H5N1 HPAI,2022,48,28/11/2022,2022/2023
14,Week 48 (2022),Moray,1,"Herring Gull, Unspecified Gull",3,H5N1 HPAI,2022,48,28/11/2022,2022/2023
15,Week 48 (2022),Runnymede,1,Canada Goose,1,H5N1 HPAI,2022,48,28/11/2022,2022/2023
16,Week 48 (2022),Somerset West and Taunton,1,Mute Swan,2,H5N1 HPAI,2022,48,28/11/2022,2022/2023
